urn:cts:greekLit:tlg5026.msA.hmt:1.1.comment	ζητέω διά τίς_τις ἀπό ὁ μήνιδος ἄρχω_ἔρδω οὕτως δύσφημος ὄνομα διά δύο οὗτος πρότερος_πρῶτος μέν ἵνα ἐκ τίς_τις_ὁ πάθος ἀπκαταῥρεύσῃ ὁ τοιοῦτος μορέω_μόριον_μόριος ὁ ψυχάζω_ψυχή καί προσεκτικός ὁ ἀκροατής ἐπί τίς_τις_ὁ μέγεθος ποίησις_ποιέω καί προσεθίζω φέρω γενναῖος ἐγώ_ἡμός τίς_ὁ πάθη_πάθος μέλλω πολλέμους ἀπαγγέλλω δεύτερος ἵνα τίς_ὁ ἐγκώμιος ὁ ἕλλην πιθανός ποίησις_ποιέω ἐπεί δέ μέλλω νικωντας ἀποφαίνω ὁ ἑλληνας εἰκότως_ἐοικότως οὐ κατατρέχω ἀξιόπιστος ἐκ τίς_τις_ὁ μή πᾶς χαρίζομαι_χαρίζω τίς_τις_τῷ_ὁ κενόω_ἐκεῖνος ἔπαινος ἄρχω_ἔρδω μέν ἀπό μήνιδος ἐπεί_ἐπείπερ οὗτος ὁ πρακτικός ὑπόθεσις γίγνομαι ἄλλῳς τε καί τραγῳδία τραγικός ἐξευρίσκω προοίμιον καί γάρ προσεκτικός ἐγώ_ἡμός ὁ ὁ ἀτύχημα διήγησις ἐργάζομαι καί ὡς ἄριστος ἰατρός πρότερος_πρῶτος ἀναστέλλω τίς_ὁ νόσημα ὁ ψυχάζω_ψυχή ὕστερον_ὕστερος ὁ ΐασιν ἐπάγω ἑλληνικός δέ ὁ πρό τέλος_τελέω ὁ ηδονὰς ἐπάγω ῾ϊστέον δέ ὥσπερ ἐπί συκάζω_συκῆ πρότερος_πρῶτος μέν εἰμί όλυνθος εἶτα φίλιξ σύκον ϊσχάς οὕτως πρότερος_πρῶτος ὀργή θυμός χόλος κότος μῆνις ὁμόω_ὅμως ὁ ποιητής ὡς συνώνυμος ὄνομα ἐπί ἀχιλλεως χράομαι_χράω_χραύω ἢἐ χόλος παύω ἐρητύω τε θυμός οὐδέ_οὐδός ὄθομαι κοτάω_κοτέω ἀτάρ ὁ μηνίω_μῆνις ναῦς
urn:cts:greekLit:tlg5026.msA.hmt:1.1.lemma	μῆνις ἀείδω
urn:cts:greekLit:tlg5026.msA.hmt:1.10.comment	ἀρίσταρχος συνάπτω ἵνα μή πάρειμι_παρόω τίς_τις φαίνω βουλεύς καθά_καθό_κατά ἑλληνων ἀλλά ἀπό οὐ χρονόω_χρόνος γίγνομαι ὁ μῆνις ἵνα μή τίς_ὁ παρά_πηρός ὁ νέος_νεώτερος πλάσμα δέχομαι_δείκνυμι
urn:cts:greekLit:tlg5026.msA.hmt:1.10.lemma	ζεύς δέ τελέω βουλή ἐκ οὐ δή τίς_ὁ πρότερος_πρῶτος
urn:cts:greekLit:tlg5026.msA.hmt:1.100.comment	πεφυλάγμενος καί δεισιδαίμων ὁ ὄρκος συμβαίνω γάρ ἀποθνήσκω ἤ ἀποδημέω ἀχιλλεως αἰκίζομαι_αἰκίζω ὁ μάντις τις δέ ὁ σός_σύ ὁ ἐπανω προδίδωμι ἕ εἰμί_ἠμί_ἦ σός_σύ δέρκομαι βελτίων δέ ὁ συνηθης ἀνάγνωσις
urn:cts:greekLit:tlg5026.msA.hmt:1.100.lemma	οὐ τις ἐγώ_ἐμέω ζάω
urn:cts:greekLit:tlg5026.msA.hmt:1.101.comment	ὁ τρόπος ὑπερβολη ὁ_ὅς δεδηὼς σκέπτομαι_σκέπω ὁ μάντις οὗτος θάρσυνος_θαρσύνω ἀποκαλύπτω ἀχιλλεύς
urn:cts:greekLit:tlg5026.msA.hmt:1.101.lemma	οὐδέ_οὐδός ὅς ἀγαμέμνων
urn:cts:greekLit:tlg5026.msA.hmt:1.102.comment	οὕτως οξείαν ἐπί ὁ οὐ ὁ γάρ ἄρα εἰμί σύνδεσμος ἐπιφέρω εγκλιτικός ὡς καί ἐπί τίς_τις_ὁ εἰ ταρ ὁ_ὅς γε εὐχωλή οὐ γάρ εἰμί ὁ σύ_τε συμπλεκτικός εἰ γάρ ἐάν_ἤν επεφέρετο ἀνά_ἄν_ἐάν πάλιν ὁ σύ_τε μετά ἀποφασεως οὔτε_οὔτι_οὔτις εκατόμβης οὕτως γάρ εἰμί εὑρεσθαι ὁ σύ_τε σύνδεσμος μετά ὁ οὐ ἀπόφασις ἔνθα μέν οὔτε ἄναξ ἐπιδευής οὔτε τις ποιμήν
urn:cts:greekLit:tlg5026.msA.hmt:1.102.lemma	οὔταρ ὁ_ὅς γε εὐχωλή
